Id,Label,Latitude  ,Longitude  ,Time Interval
Burkina Faso,Burkina Faso,13,-2,"<[8.834976E11, 8.834976E11]; [9.78192E11, 9.78192E11]; [1.1044224E12, 1.1044224E12]; [1.1990304E12, 1.1990304E12]; [1.2306528E12, 1.2306528E12]; [1.2621888E12, 1.2621888E12]; [1.2937248E12, 1.2937248E12]; [1.3252608E12, 1.3252608E12]; [1.3568832E12, 1.3568832E12]; [1.3884192E12, 1.3884192E12]; [1.4199552E12, 1.4199552E12]>"
Burundi,Burundi,-3.5,30,"<[1.1990304E12, 1.1990304E12]>"
Cambodia,Cambodia,13,105,"<[8.519616E11, 8.519616E11]; [8.834976E11, 8.834976E11]; [9.78192E11, 9.78192E11]; [1.0728E12, 1.0728E12]; [1.1044224E12, 1.1044224E12]; [1.1674944E12, 1.1674944E12]; [1.1990304E12, 1.1990304E12]; [1.2306528E12, 1.2306528E12]; [1.2621888E12, 1.2621888E12]; [1.2937248E12, 1.2937248E12]; [1.3252608E12, 1.3252608E12]; [1.3568832E12, 1.3568832E12]; [1.3884192E12, 1.3884192E12]; [1.4199552E12, 1.4199552E12]>"
Cameroon,Cameroon,6,12,"<[1.1674944E12, 1.1674944E12]; [1.1990304E12, 1.1990304E12]; [1.2621888E12, 1.2621888E12]; [1.3252608E12, 1.3252608E12]; [1.3568832E12, 1.3568832E12]; [1.3884192E12, 1.3884192E12]; [1.4199552E12, 1.4199552E12]>"
Canada,Canada,60,-95,"<[4.732704E11, 4.732704E11]; [5.048064E11, 5.048064E11]; [5.363424E11, 5.363424E11]; [5.678784E11, 5.678784E11]; [5.995008E11, 5.995008E11]; [6.310368E11, 6.310368E11]; [6.625728E11, 6.625728E11]; [6.941088E11, 6.941088E11]; [7.257312E11, 7.257312E11]; [7.572672E11, 7.572672E11]; [7.888032E11, 7.888032E11]; [8.203392E11, 8.203392E11]; [8.519616E11, 8.519616E11]; [8.834976E11, 8.834976E11]; [9.150336E11, 9.150336E11]; [9.465696E11, 9.465696E11]; [9.78192E11, 9.78192E11]; [1.009728E12, 1.009728E12]; [1.041264E12, 1.041264E12]; [1.0728E12, 1.0728E12]; [1.1044224E12, 1.1044224E12]; [1.1359584E12, 1.1359584E12]; [1.1674944E12, 1.1674944E12]; [1.1990304E12, 1.1990304E12]; [1.2306528E12, 1.2306528E12]; [1.2621888E12, 1.2621888E12]; [1.2937248E12, 1.2937248E12]; [1.3252608E12, 1.3252608E12]; [1.3568832E12, 1.3568832E12]; [1.3884192E12, 1.3884192E12]; [1.4199552E12, 1.4199552E12]>"
Chad,Chad,15,19,"<[1.1990304E12, 1.1990304E12]>"
Chile,Chile,-30,-71,"<[5.678784E11, 5.678784E11]; [5.995008E11, 5.995008E11]; [6.310368E11, 6.310368E11]; [6.625728E11, 6.625728E11]; [6.941088E11, 6.941088E11]; [7.257312E11, 7.257312E11]; [7.572672E11, 7.572672E11]; [7.888032E11, 7.888032E11]; [8.203392E11, 8.203392E11]; [8.519616E11, 8.519616E11]; [8.834976E11, 8.834976E11]; [9.150336E11, 9.150336E11]; [9.465696E11, 9.465696E11]; [9.78192E11, 9.78192E11]; [1.009728E12, 1.009728E12]; [1.041264E12, 1.041264E12]; [1.0728E12, 1.0728E12]; [1.1044224E12, 1.1044224E12]; [1.1359584E12, 1.1359584E12]; [1.1674944E12, 1.1674944E12]; [1.1990304E12, 1.1990304E12]; [1.2306528E12, 1.2306528E12]; [1.2621888E12, 1.2621888E12]; [1.2937248E12, 1.2937248E12]; [1.3252608E12, 1.3252608E12]; [1.3568832E12, 1.3568832E12]; [1.3884192E12, 1.3884192E12]; [1.4199552E12, 1.4199552E12]>"
China,China,35,105,"<[5.995008E11, 5.995008E11]; [6.310368E11, 6.310368E11]; [6.625728E11, 6.625728E11]; [6.941088E11, 6.941088E11]; [7.257312E11, 7.257312E11]; [7.572672E11, 7.572672E11]; [7.888032E11, 7.888032E11]; [8.203392E11, 8.203392E11]; [8.519616E11, 8.519616E11]; [8.834976E11, 8.834976E11]; [9.150336E11, 9.150336E11]; [9.465696E11, 9.465696E11]; [9.78192E11, 9.78192E11]; [1.009728E12, 1.009728E12]; [1.041264E12, 1.041264E12]; [1.0728E12, 1.0728E12]; [1.1044224E12, 1.1044224E12]; [1.1359584E12, 1.1359584E12]; [1.1674944E12, 1.1674944E12]; [1.1990304E12, 1.1990304E12]; [1.2306528E12, 1.2306528E12]; [1.2621888E12, 1.2621888E12]; [1.2937248E12, 1.2937248E12]; [1.3252608E12, 1.3252608E12]; [1.3568832E12, 1.3568832E12]; [1.3884192E12, 1.3884192E12]; [1.4199552E12, 1.4199552E12]>"
Colombia,Colombia,4,-72,"<[5.048064E11, 5.048064E11]; [5.995008E11, 5.995008E11]; [6.310368E11, 6.310368E11]; [6.625728E11, 6.625728E11]; [6.941088E11, 6.941088E11]; [7.257312E11, 7.257312E11]; [7.572672E11, 7.572672E11]; [7.888032E11, 7.888032E11]; [8.203392E11, 8.203392E11]; [8.519616E11, 8.519616E11]; [8.834976E11, 8.834976E11]; [9.150336E11, 9.150336E11]; [9.465696E11, 9.465696E11]; [9.78192E11, 9.78192E11]; [1.009728E12, 1.009728E12]; [1.041264E12, 1.041264E12]; [1.0728E12, 1.0728E12]; [1.1044224E12, 1.1044224E12]; [1.1359584E12, 1.1359584E12]; [1.1674944E12, 1.1674944E12]; [1.1990304E12, 1.1990304E12]; [1.2306528E12, 1.2306528E12]; [1.2621888E12, 1.2621888E12]; [1.2937248E12, 1.2937248E12]; [1.3252608E12, 1.3252608E12]; [1.3568832E12, 1.3568832E12]; [1.3884192E12, 1.3884192E12]; [1.4199552E12, 1.4199552E12]>"
Costa Rica,Costa Rica,10,-84,"<[6.625728E11, 6.625728E11]; [7.257312E11, 7.257312E11]; [7.888032E11, 7.888032E11]; [8.203392E11, 8.203392E11]; [8.519616E11, 8.519616E11]; [8.834976E11, 8.834976E11]; [9.150336E11, 9.150336E11]; [9.465696E11, 9.465696E11]; [9.78192E11, 9.78192E11]; [1.009728E12, 1.009728E12]; [1.041264E12, 1.041264E12]; [1.0728E12, 1.0728E12]; [1.1044224E12, 1.1044224E12]; [1.1359584E12, 1.1359584E12]; [1.1674944E12, 1.1674944E12]; [1.1990304E12, 1.1990304E12]; [1.2306528E12, 1.2306528E12]; [1.2621888E12, 1.2621888E12]; [1.2937248E12, 1.2937248E12]; [1.3252608E12, 1.3252608E12]; [1.3568832E12, 1.3568832E12]; [1.3884192E12, 1.3884192E12]; [1.4199552E12, 1.4199552E12]>"
